genes	IDTranscript/RepeatID (cmd=analyzeRepeats.pl /home/labs/amit/eyald/bin/data/chicken_galGal5/gg5.ens90.P2000M.gtf none -d MP_16_chicken_1A.M MP_17_chicken_2A.M MP_18_chicken_3A.M -count exons -condenseGenes -strand + -raw)	chr	start	end	strand	Length	Copies	Annotation/Divergence	MP_16_chicken_1A.M (2734712.0 total)	MP_17_chicken_2A.M (2690336.0 total)	MP_18_chicken_3A.M (3577958.0 total)
ONECUT2	ENSGALT00000053360	chrZ	407487	424543	-	3359.0	1	0.000	1.000	1.000	3.000
EMC3	ENSGALT00000005931	chr12	2783472	2789316	+	2958.0	1	0.000	335.000	271.000	341.000
RFX2	ENSGALT00000002724	chr28	1574435	1603498	-	4153.0	1	0.000	41.000	37.000	66.000
SHOC2	ENSGALT00000014266	chr6	26184275	26241915	+	6114.0	1	0.000	74.000	66.000	114.000
TECRL	ENSGALT00000072170	chr4	49418750	49460114	-	1056.0	1	0.000	0.000	0.000	0.000
CLTB	ENSGALT00000048189	chr13	10407226	10416162	+	4597.0	1	0.000	275.000	321.000	426.000
ENSGALG00000044482	ENSGALT00000088564	chr19_NT_462742v1_random	3466	8168	-	482.0	1	0.000	0.000	0.000	0.000
YIPF5	ENSGALT00000011976	chr13	17642827	17649925	-	1819.0	1	0.000	68.000	58.000	72.000
ENSGALG00000003096	ENSGALT00000004893	chr20	2284256	2334193	-	1874.0	1	0.000	8.000	1.000	7.000
ENSGALG00000032428	ENSGALT00000071685	chr11	8512210	8515232	-	967.0	1	0.000	47.000	37.000	27.000
RICTOR	ENSGALT00000005988	chrZ	12185346	12262666	-	7061.0	1	0.000	66.000	46.000	56.000
MSH2	ENSGALT00000014573	chr3	8658316	8685996	+	2840.0	1	0.000	3.000	4.000	2.000
ING3	ENSGALT00000014681	chr1	23427327	23445706	-	2110.0	1	0.000	90.000	76.000	99.000
ENSGALG00000012944	ENSGALT00000021113	chr1	59494161	59590192	+	4245.0	1	0.000	2.000	1.000	1.000
ADAMTS4	ENSGALT00000077338	chr25	2553451	2560918	-	2917.0	1	0.000	7.000	10.000	9.000
ENSGALG00000043967	ENSGALT00000085357	chrUn_NT_479461v1	874	1080	-	206.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031306	ENSGALT00000081496	chr14	1108457	1108957	+	500.0	1	0.000	6.000	8.000	8.000
ANKFN1	ENSGALT00000038814	chr18	6179731	6231305	+	4129.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045700	ENSGALT00000087652	chr1_NT_456413v1_random	6881	9048	+	2167.0	1	0.000	0.000	0.000	0.000
CERKL	ENSGALT00000014491	chr7	14320425	14371336	+	3580.0	1	0.000	0.000	0.000	0.000
gga-mir-6674	ENSGALT00000044463	chr20	2236551	2236660	-	109.0	1	0.000	0.000	0.000	0.000
ENSGALG00000016236	ENSGALT00000026178	chr1	112079778	112151195	-	7730.0	1	0.000	91.000	59.000	102.000
ENSGALG00000046290	ENSGALT00000089988	chrW_NT_463567v1_random	5616	9645	-	3848.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045996	ENSGALT00000084112	chrUn_NT_471318v1	1735	4083	+	2318.0	1	0.000	0.000	0.000	0.000
SEL1L	ENSGALT00000017221	chr5	40985357	41014216	-	4335.0	1	0.000	22.000	36.000	50.000
ENSGALG00000035042	ENSGALT00000047473	chr15	7024540	7024962	-	303.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034232	ENSGALT00000057099	chr6	19443283	19453884	+	2055.0	1	0.000	0.000	0.000	0.000
PPIP5K1	ENSGALT00000013664	chr10	20185662	20224362	+	6261.0	1	0.000	21.000	12.000	34.000
ENSGALG00000045421	ENSGALT00000089815	chr5_NT_460627v1_random	3985	7884	+	3521.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034549	ENSGALT00000056397	chr10	7723395	7737534	-	679.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034447	ENSGALT00000066304	chr4	72715066	72778239	+	386.0	1	0.000	0.000	0.000	0.000
ENSGALG00000008681	ENSGALT00000014129	chr17	2234852	2252988	+	919.0	1	0.000	0.000	1.000	1.000
ENSGALG00000044957	ENSGALT00000088836	chr8_NT_461380v1_random	89	2627	-	1594.0	1	0.000	0.000	0.000	0.000
ENSGALG00000026143	ENSGALT00000046238	chr3_NT_459188v1_random	2610	2721	+	111.0	1	0.000	0.000	0.000	0.000
SPTSSA	ENSGALT00000043316	chr5	35935965	35942248	-	3436.0	1	0.000	122.000	129.000	117.000
ENSGALG00000046323	ENSGALT00000088068	chrUn_NT_473428v1	1800	4349	+	2365.0	1	0.000	0.000	0.000	0.000
KCNG3	ENSGALT00000016131	chr3	23983111	23992881	-	1276.0	1	0.000	0.000	0.000	0.000
C21orf62	ENSGALT00000071817	chr1	105102339	105103016	-	677.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046192	ENSGALT00000088864	chrZ	8370367	8373052	-	1723.0	1	0.000	25.000	48.000	28.000
ENSGALG00000046637	ENSGALT00000087043	chr3	88479684	88487279	-	1057.0	1	0.000	0.000	0.000	0.000
INTS12	ENSGALT00000017210	chr4	38954546	38970574	+	1859.0	1	0.000	29.000	37.000	34.000
ABHD17C	ENSGALT00000010361	chr10	12355014	12385455	-	2434.0	1	0.000	48.000	36.000	44.000
ENSGALG00000032296	ENSGALT00000047707	chr3	63447714	63449908	+	451.0	1	0.000	0.000	0.000	1.000
ENSGALG00000010651	ENSGALT00000017328	chr3	34017962	34025868	+	1775.0	1	0.000	13.000	13.000	27.000
ENSGALG00000044408	ENSGALT00000089780	chrUn_NT_464777v1	10427	14408	-	3108.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044516	ENSGALT00000088850	chr2	35930828	35933723	+	1647.0	1	0.000	0.000	0.000	0.000
MATN1	ENSGALT00000078360	chr23	243720	262706	-	4849.0	1	0.000	0.000	1.000	1.000
FAM3D	ENSGALT00000011587	chr12	11895291	11901425	-	3124.0	1	0.000	6.000	0.000	1.000
ENSGALG00000001723	ENSGALT00000002644	chr8	4307425	4310801	-	1596.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037826	ENSGALT00000050795	chr33	514887	520397	-	1942.0	1	0.000	0.000	0.000	0.000
ENSGALG00000010217	ENSGALT00000086266	chr8	20997571	21002432	-	1231.0	1	0.000	36.000	30.000	47.000
ENSGALG00000045712	ENSGALT00000090170	chrZ	74512336	74513268	-	295.0	1	0.000	0.000	0.000	0.000
APLF	ENSGALT00000014234	chr3	11370185	11393577	+	4382.0	1	0.000	38.000	27.000	36.000
RAB5A	ENSGALT00000088079	chr2	35958215	35975035	+	2218.0	1	0.000	210.000	207.000	222.000
CDC37L1	ENSGALT00000023330	chrZ	27444606	27456018	+	3596.0	1	0.000	47.000	60.000	50.000
ENSGALG00000029735	ENSGALT00000068119	chr1	139804784	139809906	-	1079.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044497	ENSGALT00000087103	chr30_NT_463429v1_random	4123	9894	+	5444.0	1	0.000	0.000	0.000	0.000
PEX12	ENSGALT00000003372	chr19	4430043	4434953	+	3636.0	1	0.000	19.000	17.000	12.000
TUBA1A	ENSGALT00000080486	chr33	579115	584867	-	3312.0	1	0.000	1634.000	1434.000	1789.000
ENSGALG00000011344	ENSGALT00000018513	chr3	42549920	42554340	+	1278.0	1	0.000	18.000	7.000	1.000
ENSGALG00000004704	ENSGALT00000076011	chr11	10050576	10078937	+	3681.0	1	0.000	14.000	5.000	13.000
il-1beta	ENSGALT00000075268	chr22	4614890	4618495	-	3096.0	1	0.000	197.000	305.000	649.000
ACTL9	ENSGALT00000002192	chr28	1856900	1860380	-	3275.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031528	ENSGALT00000079783	chrZ_NT_463697v1_random	4703	10167	+	2350.0	1	0.000	0.000	0.000	0.000
GJA1	ENSGALT00000023996	chr3	61930601	61938188	-	1644.0	1	0.000	0.000	0.000	2.000
ENSGALG00000042447	ENSGALT00000062152	chr3	24742	26060	+	381.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044188	ENSGALT00000089979	chrUn_NT_464454v1	10652	17322	+	2968.0	1	0.000	0.000	0.000	0.000
FAM81B	ENSGALT00000087757	chrZ	57473380	57489951	-	1107.0	1	0.000	0.000	0.000	0.000
GALNT3	ENSGALT00000017839	chr7	19795082	19809861	+	3969.0	1	0.000	1.000	1.000	4.000
NT5C3A	ENSGALT00000078633	chr2	48139177	48163477	+	2347.0	1	0.000	27.000	47.000	80.000
ENSGALG00000035602	ENSGALT00000069310	chr11	8922484	8973078	+	2849.0	1	0.000	0.000	0.000	0.000
TMEM248	ENSGALT00000055234	chr19	5047791	5054718	+	2934.0	1	0.000	5.000	8.000	12.000
HDGFL3	ENSGALT00000059883	chr10	11243550	11270209	-	2291.0	1	0.000	0.000	1.000	3.000
ENSGALG00000034553	ENSGALT00000072892	chrUn_NT_465260v1	6055	9748	+	3649.0	1	0.000	0.000	0.000	0.000
ENSGALG00000037609	ENSGALT00000049054	chr27	573381	646058	+	449.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045783	ENSGALT00000083445	chr19	4125	5285	-	286.0	1	0.000	9.000	6.000	6.000
ENSGALG00000032895	ENSGALT00000078731	chr25	2198538	2199210	+	355.0	1	0.000	0.000	0.000	0.000
CMAS	ENSGALT00000021607	chr1	66896905	66907097	-	2469.0	1	0.000	48.000	56.000	50.000
SNORD63	ENSGALT00000042622	chr1	159562036	159562093	-	57.0	1	0.000	0.000	0.000	0.000
ENSGALG00000002932	ENSGALT00000071529	chr18	5120288	5122249	+	1328.0	1	0.000	1681.000	1563.000	2163.000
GMNN	ENSGALT00000084190	chr2	90523235	90528432	-	1174.0	1	0.000	6.000	5.000	10.000
gga-mir-190a	ENSGALT00000028963	chr10	4206001	4206085	-	84.0	1	0.000	0.000	0.000	0.000
ENSGALG00000034274	ENSGALT00000056185	chr1	15993228	16010555	+	1244.0	1	0.000	4.000	3.000	4.000
ENSGALG00000006407	ENSGALT00000047302	chr5	13059342	13065622	+	829.0	1	0.000	0.000	1.000	1.000
ENSGALG00000006864	ENSGALT00000011110	chr8	16125706	16215909	+	2904.0	1	0.000	0.000	0.000	0.000
MTFR1L	ENSGALT00000001474	chr23	2265074	2275072	-	3369.0	1	0.000	110.000	147.000	159.000
ENSGALG00000038057	ENSGALT00000053854	chr1_NT_456207v1_random	3485	10615	+	2837.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043266	ENSGALT00000065020	chrUn_NT_471446v1	263	6381	-	5093.0	1	0.000	0.000	0.000	0.000
TCTEX1D4	ENSGALT00000089745	chr8	20860262	20860939	-	677.0	1	0.000	0.000	1.000	1.000
ENSGALG00000032417	ENSGALT00000071383	chr20	701106	717725	-	1520.0	1	0.000	0.000	0.000	0.000
PARD3B	ENSGALT00000067183	chr7	12816948	13182726	-	5758.0	1	0.000	34.000	22.000	47.000
ENSGALG00000032170	ENSGALT00000050656	chr17	996388	998512	-	615.0	1	0.000	0.000	0.000	0.000
GCNT1	ENSGALT00000024478	chrZ	37362436	37365716	+	3280.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045187	ENSGALT00000087316	chrUn_NT_464902v1	5987	19225	+	3780.0	1	0.000	0.000	0.000	0.000
SLC24A4	ENSGALT00000017553	chr5	44705273	44784134	+	1799.0	1	0.000	3.000	6.000	10.000
ENSGALG00000043899	ENSGALT00000087619	chr2_NT_457890v1_random	3659	7407	+	2459.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045494	ENSGALT00000069567	chr13	13052554	13056290	+	1406.0	1	0.000	3.000	3.000	10.000
FOXRED2	ENSGALT00000020467	chr1	51761996	51772041	+	4028.0	1	0.000	27.000	24.000	36.000
ENSGALG00000035243	ENSGALT00000064251	chr25	1018931	1019553	+	622.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043217	ENSGALT00000074298	chr17	7059805	7064629	+	946.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035671	ENSGALT00000065685	chrUn_NT_471793v1	21	9205	+	8232.0	1	0.000	0.000	0.000	0.000
FAM83G	ENSGALT00000008158	chr14	5170989	5184911	-	4503.0	1	0.000	4.000	0.000	0.000
DNMT3A	ENSGALT00000073317	chr3	105052018	105065491	-	4525.0	1	0.000	1056.000	906.000	1538.000
CDKN1A	ENSGALT00000044994	chr26	1588453	1591609	+	1527.0	1	0.000	103.000	154.000	238.000
HTR4	ENSGALT00000002105	chr13	8257577	8273261	-	1147.0	1	0.000	0.000	0.000	0.000
ENSGALG00000029469	ENSGALT00000050906	chr6	32047411	32050837	-	660.0	1	0.000	2.000	3.000	2.000
ENSGALG00000043453	ENSGALT00000053909	chr28_NT_463388v1_random	4240	7674	+	2574.0	1	0.000	0.000	0.000	0.000
MRPL46	ENSGALT00000010970	chr10	13174658	13179215	+	3079.0	1	0.000	89.000	109.000	119.000
ENSGALG00000033933	ENSGALT00000066658	chrUn_NT_464524v1	12419	14831	-	433.0	1	0.000	0.000	0.000	0.000
EXOC1	ENSGALT00000074236	chr4	65366803	65391036	-	4947.0	1	0.000	132.000	102.000	157.000
PEX3	ENSGALT00000022374	chr3	52601025	52619236	-	1819.0	1	0.000	43.000	35.000	45.000
FGFR1OP	ENSGALT00000018633	chr3	42623187	42644724	-	3837.0	1	0.000	28.000	17.000	25.000
SMG1	ENSGALT00000059300	chr14	8370762	8430577	-	12880.0	1	0.000	45.000	44.000	63.000
SLC18A3	ENSGALT00000090216	chr6	2951970	2955303	-	3333.0	1	0.000	0.000	0.000	0.000
SPP2	ENSGALT00000070043	chr7	5611450	5619526	+	2947.0	1	0.000	13.000	11.000	13.000
ENSGALG00000031861	ENSGALT00000058430	chrUn_NT_465805v1	14975	16106	-	640.0	1	0.000	0.000	0.000	0.000
ENSGALG00000041524	ENSGALT00000046698	chr2_NT_457893v1_random	11125	18016	-	3187.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036223	ENSGALT00000048146	chrUn_NT_467627v1	466	11095	-	1059.0	1	0.000	0.000	0.000	0.000
SRD5A1	ENSGALT00000021324	chr2	80020208	80034045	-	792.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036409	ENSGALT00000055110	chr2	9074602	9105841	+	391.0	1	0.000	0.000	0.000	0.000
HENMT1	ENSGALT00000003030	chr8	1237574	1245232	-	3930.0	1	0.000	1.000	2.000	3.000
TFB1M	ENSGALT00000053734	chr3	50736394	50765171	-	3555.0	1	0.000	18.000	25.000	19.000
HGSNAT	ENSGALT00000016483	chr4	34410475	34420088	-	1830.0	1	0.000	3.000	7.000	6.000
PARP6	ENSGALT00000003085	chr10	1525570	1534750	+	3717.0	1	0.000	134.000	121.000	186.000
ENSGALG00000034181	ENSGALT00000050558	chr1_NT_456257v1_random	4666	4965	-	299.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044349	ENSGALT00000087876	chr1	100703114	100709068	+	1153.0	1	0.000	0.000	0.000	0.000
VIPR2	ENSGALT00000010623	chr2	9665074	9717822	-	3662.0	1	0.000	0.000	0.000	0.000
MBD4	ENSGALT00000033241	chr12	19514153	19519229	-	3438.0	1	0.000	2753.000	2742.000	3473.000
NOP56	ENSGALT00000085262	chr4_NT_459802v1_random	76808	79842	+	1336.0	1	0.000	0.000	0.000	0.000
ENSGALG00000025766	ENSGALT00000043209	chr28	3596017	3600340	-	818.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036220	ENSGALT00000074833	chr17	862625	864029	-	1098.0	1	0.000	1.000	0.000	2.000
SOX6	ENSGALT00000066964	chr5	11113670	11366088	-	4343.0	1	0.000	2.000	2.000	0.000
ENSGALG00000038891	ENSGALT00000080994	chr2_NT_457879v1_random	7614	8477	-	863.0	1	0.000	0.000	0.000	0.000
MFNG	ENSGALT00000020342	chr1	51290595	51300967	+	961.0	1	0.000	6.000	3.000	11.000
DAPK3	ENSGALT00000081521	chr28	1458219	1464446	+	3359.0	1	0.000	157.000	219.000	191.000
APOLD1	ENSGALT00000019230	chr1	48216410	48217150	+	740.0	1	0.000	0.000	0.000	0.000
ENSGALG00000035784	ENSGALT00000075661	chr10	14702081	14703083	+	899.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031641	ENSGALT00000064985	chr6_NT_460835v1_random	11547	20477	-	4339.0	1	0.000	0.000	0.000	0.000
ENSGALG00000006137	ENSGALT00000009904	chr6	18287688	18312520	-	1702.0	1	0.000	0.000	0.000	1.000
gga-mir-206	ENSGALT00000029029	chr3	108043182	108045257	-	2075.0	1	0.000	0.000	0.000	0.000
ENSGALG00000031903	ENSGALT00000059132	chrUn_NT_473254v1	1228	6219	+	2736.0	1	0.000	0.000	0.000	0.000
NDUFAF8	ENSGALT00000066963	chr18	9347716	9348299	-	407.0	1	0.000	207.000	240.000	282.000
RHOF	ENSGALT00000067542	chr15	5657771	5666735	-	1455.0	1	0.000	21.000	7.000	5.000
ENSGALG00000046040	ENSGALT00000087969	chrUn_NT_467600v1	3363	6497	+	3023.0	1	0.000	0.000	0.000	0.000
ENSGALG00000046504	ENSGALT00000084137	chr1_NT_456143v1_random	7182	23407	-	6146.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030482	ENSGALT00000056457	chrZ_NT_463644v1_random	5679	7264	-	1383.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030823	ENSGALT00000067098	chrUn_NT_471626v1	6191	8729	+	2188.0	1	0.000	0.000	0.000	0.000
ENSGALG00000026043	ENSGALT00000045914	chr11	1462839	1466041	+	1791.0	1	0.000	3.000	5.000	6.000
TRERF1	ENSGALT00000016090	chr3	22909658	22981871	-	3875.0	1	0.000	27.000	18.000	31.000
WDR20	ENSGALT00000018539	chr5	49590790	49622911	+	1962.0	1	0.000	38.000	39.000	71.000
MDFIC2	ENSGALT00000012550	chr12	15678951	15722117	-	2882.0	1	0.000	0.000	0.000	0.000
ENSGALG00000007410	ENSGALT00000011986	chr10	17969756	17982264	-	2430.0	1	0.000	0.000	0.000	0.000
gga-mir-1627	ENSGALT00000042076	chr4	39264544	39264613	+	69.0	1	0.000	0.000	0.000	0.000
BTBD3	ENSGALT00000014689	chr3	13082203	13088766	-	1556.0	1	0.000	0.000	0.000	4.000
ATXN10	ENSGALT00000048126	chr1	70660407	70756330	+	1579.0	1	0.000	20.000	9.000	20.000
ENSGALG00000046605	ENSGALT00000086668	chrUn_NT_475808v1	439	2721	-	602.0	1	0.000	0.000	0.000	0.000
ENSGALG00000021475	ENSGALT00000040721	chr25	1735967	1744372	-	2133.0	1	0.000	19.000	23.000	34.000
ENSGALG00000030896	ENSGALT00000047666	chrUn_NT_478429v1	25	3725	+	3065.0	1	0.000	0.000	0.000	0.000
LMO1	ENSGALT00000074498	chr5	10129194	10130312	+	153.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043747	ENSGALT00000081285	chrUn_NT_467726v1	7484	8076	-	251.0	1	0.000	0.000	0.000	0.000
SEC61B	ENSGALT00000022088	chr2	90000436	90006678	-	2592.0	1	0.000	388.000	354.000	494.000
ENSGALG00000045430	ENSGALT00000083239	chr1	113452551	113458229	+	454.0	1	0.000	0.000	0.000	0.000
ENSGALG00000036094	ENSGALT00000061488	chrUn_NT_469257v1	8107	12194	+	4002.0	1	0.000	0.000	0.000	0.000
NMNAT1	ENSGALT00000080180	chr21	3580258	3584863	+	2842.0	1	0.000	17.000	14.000	23.000
CHRNA2	ENSGALT00000026738	chr3	105511853	105518435	-	3597.0	1	0.000	1.000	0.000	0.000
PHB	ENSGALT00000078755	chr27	3579366	3587028	+	3488.0	1	0.000	164.000	152.000	165.000
SPARCL1	ENSGALT00000089401	chr4	46000965	46014013	+	2605.0	1	0.000	0.000	0.000	0.000
ENSGALG00000043149	ENSGALT00000077368	chr12	2993576	2993660	-	84.0	1	0.000	0.000	0.000	0.000
gga-mir-7477	ENSGALT00000065959	chr33	872767	874828	-	2061.0	1	0.000	0.000	0.000	0.000
ENSGALG00000038583	ENSGALT00000058304	chr7	3764187	3780451	+	858.0	1	0.000	0.000	0.000	0.000
ADMP	ENSGALT00000066470	chr28	885913	888150	-	1400.0	1	0.000	1.000	2.000	8.000
TMEM229B	ENSGALT00000015455	chr5	28759839	28766552	-	6403.0	1	0.000	209.000	202.000	171.000
ENSGALG00000031661	ENSGALT00000069582	chr6	22245057	22247199	+	1014.0	1	0.000	0.000	1.000	0.000
ENSGALG00000034679	ENSGALT00000081009	chrUn_NT_468043v1	7948	13027	+	4412.0	1	0.000	0.000	0.000	0.000
DNAJA3	ENSGALT00000012696	chr14	12789627	12802529	+	3447.0	1	0.000	220.000	209.000	295.000
ENSGALG00000029925	ENSGALT00000060952	chrUn_NT_470249v1	6455	10885	+	2322.0	1	0.000	0.000	0.000	0.000
ABCA1	ENSGALT00000024891	chrZ	54725868	54817218	-	6975.0	1	0.000	4.000	3.000	13.000
ENSGALG00000041463	ENSGALT00000083170	chr22_NT_463003v1_random	6091	15184	-	1361.0	1	0.000	0.000	0.000	0.000
ENSGALG00000016099	ENSGALT00000025940	chr8	24563345	24581622	+	1393.0	1	0.000	7.000	2.000	4.000
ENSGALG00000011190	ENSGALT00000018245	chr4	46742443	46743346	-	433.0	1	0.000	54.000	57.000	19.000
ENSGALG00000042377	ENSGALT00000054641	chr3	30457856	30457943	+	87.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045869	ENSGALT00000085166	chrZ	1462048	1471354	-	1181.0	1	0.000	0.000	0.000	0.000
SSR2	ENSGALT00000069236	chr25	2577485	2582230	+	3008.0	1	0.000	703.000	677.000	757.000
GPATCH8	ENSGALT00000063910	chr27	1679275	1709692	+	5755.0	1	0.000	321.000	365.000	545.000
YIPF7	ENSGALT00000022997	chr4	68031684	68075787	+	1126.0	1	0.000	0.000	0.000	0.000
ENSGALG00000041397	ENSGALT00000064048	chr4	4139040	4153074	+	1421.0	1	0.000	0.000	1.000	3.000
NTNG1	ENSGALT00000070081	chr8	828149	967393	+	3607.0	1	0.000	0.000	1.000	0.000
ENSGALG00000009128	ENSGALT00000014861	chr4	18112919	18115031	-	739.0	1	0.000	47.000	72.000	69.000
SLA	ENSGALT00000079349	chr2	141940883	141963481	-	3958.0	1	0.000	539.000	343.000	646.000
PGR	ENSGALT00000027789	chr1	183242907	183281319	+	4810.0	1	0.000	0.000	0.000	0.000
PKHD1	ENSGALT00000069714	chr3	108086835	108306491	+	13201.0	1	0.000	0.000	2.000	0.000
ANXA7	ENSGALT00000008499	chr6	16199311	16215922	-	3649.0	1	0.000	15.000	14.000	51.000
CLSPN	ENSGALT00000064360	chr23	4239601	4253556	+	5957.0	1	0.000	3.000	3.000	5.000
ENSGALG00000035835	ENSGALT00000073841	chr3	3544031	3544932	+	731.0	1	0.000	0.000	0.000	0.000
ENSGALG00000044672	ENSGALT00000088562	chrUn_NT_465036v1	8339	11383	+	2571.0	1	0.000	0.000	0.000	0.000
RORB	ENSGALT00000024445	chrZ	36543163	36678401	+	4010.0	1	0.000	0.000	0.000	0.000
ADIPOR2	ENSGALT00000067627	chr1	60997447	61037837	+	1901.0	1	0.000	92.000	97.000	191.000
ENSGALG00000032648	ENSGALT00000057015	chr4	60652623	60653237	-	434.0	1	0.000	0.000	0.000	0.000
SALL1	ENSGALT00000060419	chr11	6043786	6064292	+	8852.0	1	0.000	3701.000	3597.000	3994.000
ENSGALG00000043201	ENSGALT00000073569	chrUn_NT_464693v1	19495	22324	-	2580.0	1	0.000	0.000	0.000	0.000
gga-mir-1574	ENSGALT00000042155	chr10	5628304	5628377	+	73.0	1	0.000	0.000	0.000	0.000
MLLT3	ENSGALT00000080163	chrZ	34028583	34141800	-	3863.0	1	0.000	3.000	12.000	9.000
ENSGALG00000031078	ENSGALT00000074800	chrUn_NT_464571v1	8789	12479	-	3654.0	1	0.000	0.000	0.000	0.000
CWH43	ENSGALT00000055214	chr4	66651377	66675027	-	2078.0	1	0.000	0.000	0.000	0.000
SLC3A1	ENSGALT00000016212	chr3	25543676	25559697	+	3832.0	1	0.000	24.000	13.000	20.000
ENSGALG00000034659	ENSGALT00000069574	chr2	56271110	56271212	-	102.0	1	0.000	0.000	0.000	0.000
ENSGALG00000039566	ENSGALT00000070306	chrUn_NT_475470v1	414	5035	+	3370.0	1	0.000	0.000	0.000	0.000
ENSGALG00000038134	ENSGALT00000048321	chrUn_NT_479516v1	21	8762	+	6788.0	1	0.000	0.000	0.000	0.000
PLEKHF1	ENSGALT00000007124	chr11	8496573	8499394	+	2821.0	1	0.000	35.000	28.000	49.000
TRH	ENSGALT00000013835	chr12	19745136	19751692	+	4396.0	1	0.000	0.000	0.000	0.000
NBEAL2	ENSGALT00000061514	chr2	3879950	3903295	+	8316.0	1	0.000	12.000	8.000	13.000
ENSGALG00000038538	ENSGALT00000080010	chr10	19992495	19997170	+	479.0	1	0.000	0.000	0.000	0.000
MTPAP	ENSGALT00000011888	chr2	15000843	15014960	-	1690.0	1	0.000	20.000	21.000	33.000
TSPAN12	ENSGALT00000014690	chr1	23468347	23513135	+	2369.0	1	0.000	16.000	10.000	23.000
ENSGALG00000043205	ENSGALT00000061763	chr2	63181376	63190819	+	888.0	1	0.000	0.000	0.000	3.000
ENSGALG00000033097	ENSGALT00000077954	chr11_NT_461913v1_random	1240	8976	+	4683.0	1	0.000	0.000	0.000	0.000
NPEPL1	ENSGALT00000012184	chr20	11261734	11275509	-	4313.0	1	0.000	95.000	93.000	86.000
OGFOD3	ENSGALT00000002469	chr18	3560689	3589092	+	2698.0	1	0.000	7.000	4.000	11.000
ENSGALG00000035692	ENSGALT00000048293	chrUn_NT_468319v1	1952	10812	-	1041.0	1	0.000	0.000	0.000	0.000
SLC30A10	ENSGALT00000043961	chr3	18887190	18906622	+	3238.0	1	0.000	0.000	0.000	0.000
ENSGALG00000030693	ENSGALT00000073714	chr2	149048992	149049288	-	296.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032395	ENSGALT00000060294	chr10	3869332	3870632	+	978.0	1	0.000	1.000	0.000	1.000
ERCC5	ENSGALT00000027237	chr1	142756384	142771448	-	3341.0	1	0.000	64.000	67.000	75.000
ENSGALG00000034182	ENSGALT00000047731	chrUn_NT_465023v1	2021	22481	+	2645.0	1	0.000	0.000	0.000	0.000
ENSGALG00000045659	ENSGALT00000083821	chrUn_NT_464512v1	3553	4116	-	480.0	1	0.000	0.000	0.000	0.000
SNX5	ENSGALT00000033264	chr3	15476487	15495476	+	4077.0	1	0.000	178.000	136.000	153.000
SGCD	ENSGALT00000006182	chr13	11524677	11645193	-	861.0	1	0.000	1.000	3.000	1.000
ENSGALG00000007519	ENSGALT00000012158	chr2	15968850	15995960	-	3487.0	1	0.000	62.000	63.000	86.000
ENSGALG00000038888	ENSGALT00000071690	chrUn_NT_464159v1	6267	11166	-	4319.0	1	0.000	0.000	0.000	0.000
IL11RA	ENSGALT00000009397	chrZ	8328609	8351153	+	3787.0	1	0.000	0.000	1.000	0.000
TTC33	ENSGALT00000023934	chrZ	12854319	12891747	-	2763.0	1	0.000	22.000	23.000	26.000
ENSGALG00000045555	ENSGALT00000088074	chr8	10398596	10414923	+	3667.0	1	0.000	190.000	167.000	186.000
METTL13	ENSGALT00000005080	chr8	4714483	4718914	-	2046.0	1	0.000	0.000	0.000	2.000
ENSGALG00000010766	ENSGALT00000017509	chr5	44616495	44628129	-	1285.0	1	0.000	13.000	37.000	37.000
ENSGALG00000038184	ENSGALT00000079416	chr1	105865206	105865619	-	413.0	1	0.000	0.000	0.000	0.000
ENSGALG00000032901	ENSGALT00000061384	chrW	4137488	4385288	-	3920.0	1	0.000	1.000	1.000	1.000
UBE2S	ENSGALT00000072700	chrUn_NT_470806v1	1717	5406	-	2085.0	1	0.000	0.000	0.000	0.000
